method,dataset,dim,peak_memory_mb,vec_size,ef_search,qps,n_cmp,recall@1,recall@10,recall@100,recall@1000
SQ,youtube,1024,4704,1024,120,7293.6,3526,0.8009,0.815586,0.78358,0.486548
RabitQ,youtube,1024,10918,1152,40,2669.44,1482,0.6978,0.720322,0.62541,0.280951
SQ,youtube,1024,4704,1024,130,6778.69,3780,0.8068,0.820946,0.791798,0.50414
RabitQ,youtube,1024,10920,1152,50,2275.63,1739,0.7148,0.743442,0.663613,0.316349
SQ,youtube,1024,4704,1024,140,6232.71,4036,0.8117,0.825676,0.798926,0.520503
SQ,youtube,1024,4704,1024,150,5796.85,4292,0.816,0.829796,0.805179,0.536025
RabitQ,youtube,1024,10921,1152,60,2255.04,1995,0.7283,0.761421,0.69329,0.347837
SQ,youtube,1024,4704,1024,160,5389.14,4547,0.8197,0.833366,0.81072,0.550312
RabitQ,youtube,1024,10921,1152,70,2118.79,2250,0.7387,0.77599,0.716738,0.376231
SQ,youtube,1024,4704,1024,170,5394.3,4802,0.8223,0.836306,0.81563,0.56381
SQ,youtube,1024,4704,1024,180,5173.1,5056,0.8255,0.839527,0.820327,0.5766
RabitQ,youtube,1024,10921,1152,80,1732.58,2504,0.7431,0.78625,0.735029,0.401891
SQ,youtube,1024,4704,1024,190,4924.37,5312,0.828,0.842757,0.824556,0.588668
SQ,youtube,1024,4705,1024,200,4997.44,5568,0.8302,0.845167,0.828384,0.600139
RabitQ,youtube,1024,10922,1152,90,1814.71,2759,0.748,0.795129,0.75031,0.425448
SQ,youtube,1024,4705,2048,10,39166.2,661,0.5238,0.510329,0.358903,0.130529
SQ,youtube,1024,4707,2048,20,25114.4,955,0.6367,0.631025,0.492376,0.192617
RabitQ,youtube,1024,10922,1152,100,1668.79,3012,0.7509,0.803549,0.763367,0.447185
SQ,youtube,1024,4707,2048,30,21795.8,1221,0.6856,0.685184,0.57014,0.240122
SQ,youtube,1024,4708,2048,40,16121.7,1484,0.7206,0.722423,0.625871,0.281215
SQ,youtube,1024,4709,2048,50,13553.2,1740,0.7415,0.745173,0.663846,0.316514
RabitQ,youtube,1024,10922,1152,110,1562.44,3266,0.7534,0.809528,0.774334,0.467299
SQ,youtube,1024,4710,2048,60,12400.8,1996,0.7587,0.763722,0.693557,0.348006
SQ,youtube,1024,4710,2048,70,10704.9,2252,0.7727,0.778682,0.717117,0.376477
RabitQ,youtube,1024,10922,1152,120,1440.66,3521,0.7568,0.815497,0.78368,0.486101
SQ,youtube,1024,4710,2048,80,9696.87,2506,0.7828,0.789402,0.735412,0.402142
SQ,youtube,1024,4710,2048,90,8473.67,2761,0.7906,0.798661,0.750613,0.425745
SQ,youtube,1024,4710,2048,100,8031.3,3015,0.7984,0.80715,0.763667,0.4475
SQ,youtube,1024,4710,2048,110,7658.59,3271,0.8046,0.814269,0.774902,0.46773
RabitQ,youtube,1024,10922,1152,130,1101.72,3776,0.7565,0.819717,0.791872,0.50364
SQ,youtube,1024,4710,2048,120,6702.43,3525,0.81,0.820069,0.784236,0.48647
SQ,youtube,1024,4710,2048,130,6634.35,3780,0.815,0.825259,0.792492,0.504074
RabitQ,youtube,1024,10923,1152,140,1164.78,4031,0.757,0.824436,0.799204,0.520055
SQ,youtube,1024,4710,2048,140,6266.03,4035,0.8203,0.830289,0.799767,0.520487
SQ,youtube,1024,4710,2048,150,5866.08,4292,0.8248,0.834329,0.806129,0.536101
SQ,youtube,1024,4710,2048,160,5412.47,4546,0.828,0.837669,0.811485,0.550366
RabitQ,youtube,1024,10923,1152,150,1188.95,4286,0.7592,0.827846,0.80532,0.535473
SQ,youtube,1024,4710,2048,170,5059.71,4801,0.831,0.840959,0.816582,0.563853
SQ,youtube,1024,4710,2048,180,5064.39,5056,0.8344,0.84452,0.821301,0.576607
RabitQ,youtube,1024,10923,1152,160,1137.21,4540,0.7561,0.830656,0.81075,0.549733
SQ,youtube,1024,4710,2048,190,5186.41,5311,0.837,0.84738,0.825493,0.58859
SQ,youtube,1024,4710,2048,200,4517.87,5567,0.8396,0.85006,0.829444,0.600062
RabitQ,youtube,1024,10923,1152,170,1010,4794,0.7549,0.833706,0.815827,0.56322
SQ,openai,1536,6485,768,10,5193.58,710,0.8117,0.809952,0.551812,0.18925
SQ,openai,1536,6553,768,20,3559.59,1086,0.8696,0.878389,0.714981,0.283974
RabitQ,youtube,1024,10923,1152,180,1046.5,5048,0.7541,0.836616,0.820542,0.575912
SQ,openai,1536,6564,768,30,7810.55,1464,0.89,0.902501,0.801187,0.358737
SQ,openai,1536,6565,768,40,7275.88,1846,0.9015,0.913824,0.848368,0.420162
SQ,openai,1536,6565,768,50,5981.54,2228,0.9104,0.920435,0.876256,0.471848
RabitQ,youtube,1024,10923,1152,190,946.137,5303,0.7505,0.839217,0.824698,0.587922
SQ,openai,1536,6566,768,60,6072.28,2613,0.915,0.924586,0.893666,0.516186
SQ,openai,1536,6566,768,70,5482.59,3001,0.92,0.928137,0.905312,0.554801
SQ,openai,1536,6566,768,80,5538.88,3389,0.9222,0.930198,0.913123,0.588276
RabitQ,youtube,1024,10923,1152,200,959.115,5558,0.7504,0.840766,0.82868,0.599369
SQ,openai,1536,6566,768,90,5103.77,3777,0.9235,0.931568,0.918719,0.618071
SQ,openai,1536,6566,768,100,4407.42,4166,0.9263,0.932808,0.923089,0.644725
SQ,openai,1536,6566,768,110,3993.68,4557,0.9274,0.933908,0.926545,0.668611
SQ,openai,1536,6566,768,120,3587.56,4947,0.9282,0.934419,0.92895,0.689955
SQ,openai,1536,6566,768,130,3517.16,5338,0.9291,0.934849,0.930931,0.709223
SQ,openai,1536,6566,768,140,3398.39,5729,0.9301,0.935599,0.932705,0.726805
SQ,openai,1536,6566,768,150,3189.52,6121,0.9311,0.936089,0.934078,0.742709
RabitQ,openai,1536,14105,576,10,3197.9,709,0.8262,0.817556,0.551755,0.189362
SQ,openai,1536,6567,768,160,3012.59,6513,0.9322,0.936609,0.935147,0.757098
RabitQ,openai,1536,14175,576,20,2227.58,1086,0.8874,0.891843,0.716532,0.284473
SQ,openai,1536,6567,768,170,2853.95,6904,0.9331,0.936889,0.935971,0.770133
RabitQ,openai,1536,14186,576,30,2140.99,1463,0.9082,0.915278,0.803707,0.358761
SQ,openai,1536,6567,768,180,2649.5,7296,0.9335,0.937199,0.936806,0.782069
SQ,openai,1536,6567,768,190,2441.28,7689,0.9342,0.937459,0.93749,0.792998
RabitQ,openai,1536,14188,576,40,1608.19,1846,0.9208,0.9289,0.855076,0.420491
SQ,openai,1536,6567,768,200,2352.11,8081,0.9345,0.937819,0.938131,0.802888
RabitQ,openai,1536,14188,576,50,1434.51,2228,0.9291,0.936411,0.885971,0.472272
SQ,openai,1536,6567,1152,10,18958.4,708,0.8486,0.82817,0.551517,0.188986
SQ,openai,1536,6577,1152,20,12507.8,1085,0.9117,0.907289,0.716329,0.284182
RabitQ,openai,1536,14189,576,60,1382.03,2613,0.9336,0.940581,0.905105,0.51645
SQ,openai,1536,6582,1152,30,9623.96,1463,0.9349,0.935414,0.805363,0.358927
SQ,openai,1536,6585,1152,40,8086.3,1845,0.9461,0.950057,0.858453,0.420439
RabitQ,openai,1536,14189,576,70,1198.99,3000,0.9373,0.943662,0.917983,0.554845
SQ,openai,1536,6585,1152,50,6880.45,2229,0.9548,0.958908,0.892317,0.47224
SQ,openai,1536,6585,1152,60,5680.32,2612,0.9593,0.963699,0.91382,0.516387
SQ,openai,1536,6586,1152,70,5048.55,2999,0.9638,0.96717,0.928671,0.554748
RabitQ,openai,1536,14189,576,80,982.992,3388,0.9396,0.945613,0.926948,0.588665
SQ,openai,1536,6586,1152,80,4627.75,3387,0.9668,0.96969,0.939692,0.588634
SQ,openai,1536,6586,1152,90,4019.38,3776,0.9695,0.97187,0.948009,0.618514
SQ,openai,1536,6586,1152,100,3817.74,4166,0.9711,0.97351,0.954176,0.645055
RabitQ,openai,1536,14189,576,90,863.905,3776,0.9423,0.947214,0.933387,0.618405
SQ,openai,1536,6586,1152,110,3753.71,4556,0.9721,0.974551,0.959086,0.668895
SQ,openai,1536,6586,1152,120,3506.37,4946,0.9732,0.975711,0.962876,0.690378
SQ,openai,1536,6586,1152,130,3359.49,5336,0.9752,0.976531,0.965803,0.709608
RabitQ,openai,1536,14189,576,100,885.391,4165,0.9434,0.948484,0.938044,0.644875
SQ,openai,1536,6586,1152,140,3155.02,5727,0.9764,0.977301,0.968258,0.727168
SQ,openai,1536,6586,1152,150,2864.88,6119,0.9776,0.977851,0.970331,0.74321
RabitQ,openai,1536,14189,576,110,824.934,4556,0.9456,0.949784,0.941958,0.668777
SQ,openai,1536,6586,1152,160,2801.44,6510,0.9781,0.978442,0.972108,0.757898
SQ,openai,1536,6586,1152,170,2624.03,6903,0.9789,0.978852,0.97354,0.771287
SQ,openai,1536,6586,1152,180,2595.9,7296,0.9797,0.979342,0.974837,0.783702
RabitQ,openai,1536,14190,576,120,775.653,4946,0.9464,0.950425,0.944781,0.690167
SQ,openai,1536,6586,1152,190,2512.62,7688,0.9802,0.979582,0.975858,0.795021
SQ,openai,1536,6586,1152,200,2501.83,8080,0.9809,0.979802,0.976764,0.805519
RabitQ,openai,1536,14190,576,130,704.466,5337,0.9479,0.951115,0.947116,0.709602
SQ,openai,1536,6588,1536,10,19215.3,709,0.8551,0.831192,0.551697,0.189201
SQ,openai,1536,6596,1536,20,8986.89,1086,0.9203,0.913471,0.716714,0.284419
SQ,openai,1536,6600,1536,30,7971.82,1463,0.9429,0.942995,0.805601,0.359028
SQ,openai,1536,6601,1536,40,7725.52,1845,0.9539,0.958058,0.858834,0.420521
RabitQ,openai,1536,14190,576,140,688.384,5727,0.9492,0.951835,0.948985,0.727153
SQ,openai,1536,6601,1536,50,6776.8,2229,0.9635,0.967699,0.89318,0.472274
SQ,openai,1536,6601,1536,60,5582.27,2613,0.9681,0.972829,0.915523,0.516528
SQ,openai,1536,6601,1536,70,4989.59,2999,0.9726,0.97654,0.931068,0.55491
SQ,openai,1536,6601,1536,80,4946.7,3388,0.9759,0.97953,0.94291,0.588771
RabitQ,openai,1536,14191,576,150,654.114,6119,0.95,0.952285,0.95052,0.743156
SQ,openai,1536,6601,1536,90,2714.83,3776,0.9777,0.98166,0.951671,0.618588
SQ,openai,1536,6601,1536,100,2051.04,4165,0.9798,0.983441,0.958467,0.645085
SQ,openai,1536,6601,1536,110,3923.81,4556,0.9811,0.984651,0.963846,0.668993
RabitQ,openai,1536,14191,576,160,578.931,6511,0.9509,0.952646,0.951796,0.757746
SQ,openai,1536,6601,1536,120,3734.01,4946,0.9823,0.98565,0.968054,0.690425
SQ,openai,1536,6601,1536,130,3522.33,5337,0.9836,0.986561,0.971362,0.709681
SQ,openai,1536,6601,1536,140,3250.41,5727,0.9846,0.987351,0.974171,0.727191
RabitQ,openai,1536,14191,576,170,580.892,6903,0.9521,0.953196,0.952925,0.771056
SQ,openai,1536,6601,1536,150,3101.09,6119,0.9863,0.988051,0.97657,0.743253
SQ,openai,1536,6601,1536,160,2759.21,6511,0.9869,0.988811,0.978691,0.757945
SQ,openai,1536,6601,1536,170,2863.47,6902,0.9876,0.989211,0.980393,0.771345
RabitQ,openai,1536,14191,576,180,566.616,7295,0.9525,0.953586,0.95381,0.783335
SQ,openai,1536,6602,1536,180,2920.67,7295,0.9888,0.989641,0.981909,0.783686
SQ,openai,1536,6602,1536,190,2788.77,7687,0.9891,0.990011,0.983153,0.795046
SQ,openai,1536,6602,1536,200,2468.1,8079,0.9893,0.990241,0.984224,0.805494
SQ,openai,1536,6603,3072,10,21104.9,709,0.8578,0.832403,0.551832,0.189246
RabitQ,openai,1536,14191,576,190,539.091,7687,0.9531,0.953846,0.954634,0.794596
SQ,openai,1536,6610,3072,20,12206.3,1086,0.9236,0.915691,0.716831,0.284394
SQ,openai,1536,6615,3072,30,9937.8,1463,0.9462,0.945886,0.805716,0.359052
SQ,openai,1536,6616,3072,40,7917.46,1845,0.9572,0.961278,0.858919,0.420436
SQ,openai,1536,6616,3072,50,5926.62,2229,0.9667,0.971059,0.893325,0.472282
SQ,openai,1536,6616,3072,60,5736.63,2613,0.9715,0.976309,0.915773,0.516515
RabitQ,openai,1536,14191,576,200,516.135,8079,0.9537,0.954146,0.955264,0.804905
SQ,openai,1536,6616,3072,70,5496.51,2999,0.976,0.98004,0.931438,0.554858
SQ,openai,1536,6616,3072,80,4990.18,3388,0.9793,0.9832,0.943472,0.588782
SQ,openai,1536,6616,3072,90,4589.8,3776,0.9809,0.985239,0.952308,0.61853
SQ,openai,1536,6616,3072,100,3696.42,4165,0.983,0.98707,0.959255,0.645096
SQ,openai,1536,6616,3072,110,3547.04,4556,0.9843,0.98836,0.964799,0.668938
SQ,openai,1536,6616,3072,120,3265.56,4946,0.9856,0.98943,0.96911,0.690361
SQ,openai,1536,6616,3072,130,3129.12,5336,0.9872,0.99037,0.972605,0.709644
SQ,openai,1536,6617,3072,140,3032.27,5727,0.9883,0.99125,0.97555,0.727214
SQ,openai,1536,6617,3072,150,2837.69,6119,0.9896,0.99186,0.978012,0.743223
RabitQ,openai,1536,14292,768,10,1591.84,708,0.8423,0.825788,0.551505,0.189212
SQ,openai,1536,6617,3072,160,2608.43,6511,0.9903,0.99254,0.980249,0.757907
RabitQ,openai,1536,14357,768,20,2458.54,1085,0.9049,0.903097,0.71623,0.284339
SQ,openai,1536,6617,3072,170,2610.75,6902,0.9909,0.99307,0.982064,0.771316
RabitQ,openai,1536,14364,768,30,1876.79,1463,0.9262,0.929692,0.805238,0.359031
SQ,openai,1536,6617,3072,180,2483.11,7295,0.992,0.99354,0.983676,0.783692
RabitQ,openai,1536,14369,768,40,1730.62,1844,0.9363,0.943315,0.857765,0.420339
SQ,openai,1536,6617,3072,190,2259.97,7687,0.9925,0.99391,0.984993,0.79505
SQ,openai,1536,6617,3072,200,2179.08,8080,0.9927,0.99413,0.986143,0.80548
RabitQ,openai,1536,14369,768,50,1375.46,2228,0.9449,0.952247,0.891012,0.472216
RabitQ,openai,1536,14370,768,60,1274.88,2611,0.95,0.956817,0.911963,0.51635
SQ,openai,3072,12335,1536,10,4171.51,708,0.8171,0.814316,0.549279,0.18815
RabitQ,openai,1536,14370,768,70,1169.14,2999,0.9544,0.960118,0.926488,0.554851
SQ,openai,3072,12413,1536,20,2804.34,1084,0.8813,0.887873,0.713787,0.282156
SQ,openai,3072,12423,1536,30,4003.08,1462,0.9053,0.914438,0.801792,0.356138
SQ,openai,3072,12424,1536,40,3553.11,1841,0.9196,0.926989,0.852646,0.417136
RabitQ,openai,1536,14370,768,80,1059.55,3388,0.9574,0.962798,0.937058,0.588802
SQ,openai,3072,12425,1536,50,2569.92,2222,0.9264,0.933489,0.882456,0.468602
SQ,openai,3072,12425,1536,60,2443.34,2604,0.9308,0.937671,0.901462,0.512909
RabitQ,openai,1536,14370,768,90,887.066,3775,0.9596,0.964589,0.94457,0.618542
SQ,openai,3072,12425,1536,70,2586.09,2990,0.9345,0.940821,0.914534,0.551891
SQ,openai,3072,12426,1536,80,2421.86,3377,0.9377,0.942862,0.923557,0.586001
RabitQ,openai,1536,14370,768,100,821.699,4165,0.961,0.96598,0.950272,0.645141
SQ,openai,3072,12426,1536,90,2212.88,3763,0.9399,0.944312,0.929813,0.616037
SQ,openai,3072,12426,1536,100,1891.02,4151,0.9408,0.945522,0.934532,0.642753
RabitQ,openai,1536,14370,768,110,814.932,4555,0.9624,0.96707,0.95466,0.668819
SQ,openai,3072,12426,1536,110,1945.82,4539,0.9431,0.946732,0.938272,0.66681
SQ,openai,3072,12426,1536,120,1824.62,4929,0.9447,0.947843,0.941205,0.688608
RabitQ,openai,1536,14371,768,120,756.955,4946,0.9634,0.968021,0.95817,0.690298
SQ,openai,3072,12427,1536,130,1720.58,5318,0.9461,0.948683,0.94344,0.708127
SQ,openai,3072,12427,1536,140,1606.34,5707,0.9478,0.949334,0.945226,0.725864
RabitQ,openai,1536,14371,768,130,664.53,5336,0.9649,0.968931,0.960937,0.709632
SQ,openai,3072,12427,1536,150,1395.42,6097,0.949,0.950014,0.946673,0.741959
SQ,openai,3072,12428,1536,160,1336.58,6486,0.9495,0.950474,0.947887,0.756614
RabitQ,openai,1536,14371,768,140,686.855,5727,0.9665,0.969611,0.963092,0.727153
SQ,openai,3072,12428,1536,170,1482.99,6877,0.9503,0.950854,0.948887,0.770137
SQ,openai,3072,12428,1536,180,1431.25,7268,0.9511,0.951324,0.949872,0.782649
RabitQ,openai,1536,14372,768,150,639.624,6118,0.9675,0.970331,0.964894,0.74324
SQ,openai,3072,12428,1536,190,1387.29,7658,0.9516,0.951554,0.950553,0.794012
SQ,openai,3072,12428,1536,200,1327.35,8049,0.9517,0.951784,0.951097,0.804429
RabitQ,openai,1536,14372,768,160,571.48,6511,0.9683,0.970791,0.966524,0.757858
SQ,openai,3072,12428,2304,10,11619.4,708,0.8455,0.829043,0.549654,0.188062
SQ,openai,3072,12447,2304,20,8044.35,1085,0.9106,0.909773,0.714825,0.282365
RabitQ,openai,1536,14372,768,170,575.479,6902,0.9693,0.971281,0.967839,0.771231
SQ,openai,3072,12452,2304,30,6390.01,1462,0.9379,0.940534,0.803988,0.356168
SQ,openai,3072,12453,2304,40,4931.44,1840,0.9492,0.953526,0.857487,0.417023
SQ,openai,3072,12454,2304,50,4328.71,2221,0.9568,0.962038,0.891636,0.468714
SQ,openai,3072,12454,2304,60,3733.08,2604,0.9611,0.966998,0.914541,0.51321
RabitQ,openai,1536,14372,768,180,546.82,7294,0.9698,0.971681,0.968947,0.783602
SQ,openai,3072,12454,2304,70,3285.3,2990,0.9657,0.970719,0.930458,0.552042
SQ,openai,3072,12454,2304,80,2863.15,3375,0.9685,0.973559,0.941864,0.586033
SQ,openai,3072,12454,2304,90,2563.18,3763,0.9707,0.975709,0.950473,0.616296
SQ,openai,3072,12454,2304,100,2254.29,4150,0.9722,0.976919,0.956747,0.642988
RabitQ,openai,1536,14372,768,190,506.683,7687,0.9702,0.971901,0.96989,0.794994
SQ,openai,3072,12454,2304,110,2271.37,4539,0.9739,0.978239,0.961742,0.667025
SQ,openai,3072,12454,2304,120,2097.81,4928,0.9763,0.979469,0.965759,0.688708
SQ,openai,3072,12454,2304,130,1935.45,5317,0.9778,0.98031,0.968806,0.708231
RabitQ,openai,1536,14372,768,200,500.679,8080,0.9706,0.972021,0.970646,0.805467
SQ,openai,3072,12455,2304,140,1825.85,5707,0.9793,0.98131,0.971506,0.726013
SQ,openai,3072,12455,2304,150,1639.71,6096,0.9804,0.98214,0.973591,0.742125
SQ,openai,3072,12455,2304,160,1553.88,6486,0.9812,0.98279,0.975311,0.756885
SQ,openai,3072,12455,2304,170,1529.56,6876,0.982,0.983271,0.976771,0.770508
SQ,openai,3072,12455,2304,180,1458.16,7266,0.9828,0.983731,0.978034,0.783037
SQ,openai,3072,12455,2304,190,1321.51,7657,0.9834,0.984121,0.979118,0.79465
RabitQ,openai,1536,14474,960,10,1424.01,709,0.8503,0.82885,0.551741,0.189226
SQ,openai,3072,12455,2304,200,1325.52,8048,0.9841,0.984441,0.980037,0.805292
RabitQ,openai,1536,14537,960,20,1472.2,1086,0.9139,0.9092,0.716716,0.284344
RabitQ,openai,1536,14546,960,30,1971.3,1463,0.936,0.937115,0.80555,0.358956
SQ,openai,3072,12455,3072,10,11932.5,707,0.8498,0.831645,0.549595,0.187967
RabitQ,openai,1536,14550,960,40,1829.58,1845,0.9469,0.952017,0.858883,0.420557
SQ,openai,3072,12460,3072,20,8176.35,1085,0.9164,0.914834,0.71469,0.282322
SQ,openai,3072,12462,3072,30,5182.04,1462,0.9437,0.946085,0.803969,0.356196
RabitQ,openai,1536,14551,960,50,1550.66,2229,0.9561,0.960739,0.892707,0.472314
SQ,openai,3072,12464,3072,40,4706.81,1839,0.9552,0.959607,0.85743,0.416893
SQ,openai,3072,12464,3072,50,3780.05,2220,0.9628,0.968667,0.892195,0.46864
RabitQ,openai,1536,14551,960,60,1298.49,2613,0.9608,0.965879,0.91454,0.516453
SQ,openai,3072,12464,3072,60,3301.85,2604,0.9674,0.973778,0.915273,0.513092
SQ,openai,3072,12464,3072,70,2767.49,2989,0.9724,0.977718,0.931706,0.551953
RabitQ,openai,1536,14551,960,70,1189.32,2999,0.9651,0.96932,0.929731,0.554827
SQ,openai,3072,12464,3072,80,2522.89,3375,0.9752,0.980658,0.943771,0.585999
RabitQ,openai,1536,14551,960,80,958.119,3387,0.968,0.97175,0.940799,0.588613
SQ,openai,3072,12464,3072,90,2373.68,3763,0.9774,0.982889,0.952872,0.616264
SQ,openai,3072,12464,3072,100,2195.37,4150,0.9792,0.984169,0.95952,0.642931
RabitQ,openai,1536,14551,960,90,965.902,3776,0.9705,0.97371,0.949217,0.618534
SQ,openai,3072,12464,3072,110,2099.58,4539,0.981,0.985599,0.96491,0.666992
SQ,openai,3072,12464,3072,120,2028.11,4928,0.9833,0.986779,0.96932,0.688694
RabitQ,openai,1536,14551,960,100,902.675,4165,0.9718,0.975311,0.955539,0.64506
SQ,openai,3072,12464,3072,130,1761.62,5318,0.9851,0.98781,0.97285,0.7083
SQ,openai,3072,12464,3072,140,1749.17,5706,0.9866,0.98877,0.975699,0.725971
RabitQ,openai,1536,14552,960,110,829.015,4555,0.9733,0.976611,0.96057,0.668907
SQ,openai,3072,12464,3072,150,1864.83,6095,0.9877,0.98975,0.978103,0.742075
SQ,openai,3072,12464,3072,160,1720.45,6485,0.9882,0.99035,0.980128,0.756837
RabitQ,openai,1536,14552,960,120,779.378,4946,0.9745,0.977581,0.964443,0.690356
SQ,openai,3072,12465,3072,170,1641.43,6875,0.9889,0.99086,0.981747,0.770495
RabitQ,openai,1536,14553,960,130,725.024,5336,0.9762,0.978451,0.96736,0.709644
SQ,openai,3072,12465,3072,180,1554.41,7267,0.99,0.99159,0.983336,0.783129
SQ,openai,3072,12465,3072,190,1282.46,7656,0.9906,0.99184,0.984505,0.794628
RabitQ,openai,1536,14553,960,140,648.284,5727,0.9774,0.979241,0.969886,0.727155
SQ,openai,3072,12465,3072,200,470.238,8047,0.9912,0.99218,0.985627,0.805277
RabitQ,openai,1536,14553,960,150,647.153,6118,0.9783,0.979711,0.971884,0.743211
SQ,openai,3072,12465,6144,10,4855.31,707,0.8513,0.832226,0.549437,0.187933
RabitQ,openai,1536,14553,960,160,617.648,6510,0.979,0.980471,0.973811,0.757889
SQ,openai,3072,12468,6144,20,3096.54,1085,0.9177,0.915804,0.714535,0.282279
SQ,openai,3072,12468,6144,30,2150.64,1462,0.9456,0.947706,0.803939,0.356187
RabitQ,openai,1536,14553,960,170,581.37,6902,0.98,0.981001,0.975296,0.771274
SQ,openai,3072,12468,6144,40,1705.31,1840,0.9578,0.961707,0.85759,0.416924
SQ,openai,3072,12468,6144,50,1372.91,2221,0.9647,0.970807,0.892295,0.468638
SQ,openai,3072,12468,6144,60,1663.48,2604,0.9695,0.975888,0.915452,0.513118
RabitQ,openai,1536,14553,960,180,503.473,7295,0.9806,0.981251,0.976536,0.783619
SQ,openai,3072,12468,6144,70,2649.73,2989,0.9747,0.979978,0.931976,0.551932
SQ,openai,3072,12468,6144,80,2075.43,3376,0.9771,0.982908,0.944158,0.586022
SQ,openai,3072,12468,6144,90,1967.11,3764,0.9796,0.985249,0.953382,0.616245
RabitQ,openai,1536,14554,960,190,531.505,7687,0.9813,0.981541,0.977627,0.795021
SQ,openai,3072,12468,6144,100,1626.57,4150,0.9813,0.986509,0.96016,0.642936
SQ,openai,3072,12468,6144,110,1409.06,4540,0.9832,0.987999,0.965694,0.667021
RabitQ,openai,1536,14554,960,200,474.443,8080,0.9816,0.981851,0.978557,0.805511
SQ,openai,3072,12468,6144,120,1146.59,4928,0.9855,0.989289,0.970224,0.688692
SQ,openai,3072,12468,6144,130,1072.76,5318,0.9873,0.990279,0.973802,0.708297
SQ,openai,3072,12468,6144,140,916.008,5706,0.9889,0.99125,0.976746,0.72599
SQ,openai,3072,12468,6144,150,729.469,6096,0.99,0.99228,0.979256,0.742102
SQ,openai,3072,12468,6144,160,761.383,6486,0.9905,0.99289,0.981349,0.756859
SQ,openai,3072,12468,6144,170,795.709,6876,0.9912,0.99347,0.983056,0.770503
SQ,openai,3072,12468,6144,180,732.381,7266,0.9921,0.99412,0.984729,0.783126
RabitQ,openai,1536,14832,1344,10,3662.18,709,0.8566,0.831892,0.552088,0.189293
RabitQ,openai,1536,14898,1344,20,1753.56,1086,0.922,0.913871,0.716802,0.28438
SQ,openai,3072,12468,6144,190,738.702,7656,0.9927,0.99437,0.98598,0.794627
RabitQ,openai,1536,14911,1344,30,1891.53,1463,0.9442,0.943485,0.805761,0.359063
RabitQ,openai,1536,14912,1344,40,1356.92,1844,0.9552,0.958197,0.858796,0.420402
SQ,openai,3072,12468,6144,200,853.037,8048,0.9933,0.99471,0.987187,0.805297
RabitQ,openai,1536,14913,1344,50,1496,2228,0.9646,0.967949,0.893175,0.472229
RabitQ,openai,1536,14913,1344,60,1309.42,2612,0.9692,0.972999,0.915507,0.516456
RabitQ,openai,1536,14914,1344,70,1173.22,2999,0.9739,0.97684,0.931081,0.554813
RabitQ,openai,1536,14914,1344,80,1068.53,3387,0.9768,0.97969,0.942996,0.588772
RabitQ,openai,1536,14914,1344,90,986.513,3776,0.9787,0.98172,0.951757,0.61855
RabitQ,openai,1536,14914,1344,100,907.243,4165,0.9809,0.98355,0.958539,0.645063
RabitQ,openai,1536,14914,1344,110,841.825,4555,0.9821,0.98492,0.963973,0.668918
RabitQ,openai,1536,14915,1344,120,781.425,4946,0.9835,0.98591,0.968203,0.690381
RabitQ,openai,1536,14915,1344,130,720.712,5336,0.985,0.98687,0.971576,0.709653
RabitQ,openai,1536,14915,1344,140,685.906,5727,0.9859,0.98772,0.974379,0.727208
RabitQ,openai,1536,14916,1344,150,647.26,6118,0.9874,0.988341,0.976775,0.74322
RabitQ,openai,1536,14916,1344,160,626.609,6511,0.9881,0.989071,0.978928,0.757957
RabitQ,openai,1536,14916,1344,170,598.203,6902,0.9887,0.989451,0.980567,0.771285
RabitQ,openai,1536,14916,1344,180,575.581,7295,0.9898,0.989901,0.98212,0.783689
RabitQ,openai,1536,14916,1344,190,429.87,7687,0.9903,0.990271,0.983367,0.795023
RabitQ,openai,1536,14916,1344,200,459.003,8079,0.9906,0.990471,0.98448,0.805499
RabitQ,openai,1536,15013,1536,10,3860.52,709,0.8574,0.832012,0.551882,0.18927
RabitQ,openai,1536,15083,1536,20,2817.1,1086,0.9226,0.914921,0.716865,0.284428
RabitQ,openai,1536,15092,1536,30,2082.2,1463,0.9456,0.944865,0.805775,0.359085
RabitQ,openai,1536,15094,1536,40,1794.88,1845,0.9562,0.959848,0.858822,0.420425
RabitQ,openai,1536,15094,1536,50,1525.37,2229,0.9658,0.969639,0.893319,0.472288
RabitQ,openai,1536,15094,1536,60,1330.37,2612,0.9705,0.974729,0.91565,0.516502
RabitQ,openai,1536,15095,1536,70,1180.56,2999,0.9749,0.97842,0.93131,0.554853
RabitQ,openai,1536,15095,1536,80,1062.61,3388,0.9782,0.98159,0.943312,0.588773
RabitQ,openai,1536,15095,1536,90,963.007,3775,0.98,0.98358,0.952058,0.618538
RabitQ,openai,1536,15095,1536,100,894.827,4165,0.9819,0.98538,0.95891,0.645074
RabitQ,openai,1536,15095,1536,110,826.006,4556,0.9833,0.98674,0.964427,0.668955
RabitQ,openai,1536,15096,1536,120,766.229,4946,0.9845,0.98773,0.968676,0.690407
RabitQ,openai,1536,15096,1536,130,720.557,5336,0.9862,0.98873,0.972132,0.709667
RabitQ,openai,1536,15096,1536,140,681.084,5727,0.9873,0.98956,0.975044,0.72724
RabitQ,openai,1536,15097,1536,150,641.637,6119,0.9886,0.99017,0.977419,0.743245
